age,gender,weight_kg,height_cm,bmi,body_fat_pct,exercise_type,met_value,duration_min,intensity,heart_rate,calories_burned
53,0,68.8,157.6,27.71,28.8,Walking,3.5,75,3,137,795.0
66,0,67.9,172.9,22.72,18.9,Swimming,8.0,63,1,97,455.7
43,0,74.2,163.9,27.62,36.9,HIIT,12.0,104,1,94,1095.6
29,0,51.4,161.4,19.75,27.1,Weight Training,5.0,104,1,102,462.3
57,0,73.7,165.8,26.81,29.2,Yoga,3.0,90,3,141,903.5
22,0,54.2,176.2,17.47,27.3,HIIT,12.0,56,1,95,446.7
35,1,71.9,183.4,21.38,11.9,Walking,3.5,77,3,149,1049.0
53,0,54.1,155.3,22.45,22.8,Walking,3.5,109,2,120,719.1
72,0,51.3,164.3,19.03,21.1,Walking,3.5,40,2,113,258.6
33,1,87.5,166.4,31.59,19.6,Yoga,3.0,52,3,132,659.5
37,0,73.5,155.3,30.46,18.9,Elliptical,6.0,42,1,91,209.2
25,1,72.9,183.2,21.72,20.9,Walking,3.5,84,2,111,689.9
25,0,79.8,171.1,27.27,23.9,Yoga,3.0,15,3,141,140.9
38,1,81.8,177.9,25.87,29.5,Yoga,3.0,80,3,146,1060.2
67,1,74.9,177.6,23.74,7.2,Swimming,8.0,105,2,126,1500.0
50,0,55.7,153.5,23.64,21.4,Rowing,8.5,56,2,103,622.8
54,1,68.3,164.1,25.38,23.3,Rowing,8.5,22,3,148,514.1
38,0,49.0,171.3,16.72,24.1,Running,9.8,64,3,135,1142.9
17,0,56.5,158.5,22.51,23.9,Weight Training,5.0,24,1,99,140.1
36,0,50.9,156.4,20.81,26.3,Swimming,8.0,87,1,106,545.6
67,0,70.2,160.7,27.19,28.2,Weight Training,5.0,66,2,128,684.9
16,1,72.8,178.0,22.95,18.3,Cycling,7.5,25,2,131,358.1
38,0,65.2,160.5,25.3,14.1,HIIT,12.0,18,2,147,344.3
58,1,58.0,182.3,17.47,14.5,HIIT,12.0,44,1,69,330.5
44,1,58.5,182.0,17.66,12.7,Walking,3.5,51,3,152,605.7
52,0,62.6,161.5,24.0,20.6,HIIT,12.0,117,3,149,1500.0
16,0,73.1,169.0,25.62,24.2,Jump Rope,11.0,105,2,124,1500.0
74,0,53.5,161.5,20.52,31.6,Weight Training,5.0,31,3,145,389.1
35,0,54.2,176.5,17.41,32.9,Cycling,7.5,23,1,93,138.8
47,1,77.9,175.3,25.34,20.9,Elliptical,6.0,20,3,157,424.7
26,0,62.8,158.6,24.97,32.5,Walking,3.5,107,1,95,403.3
72,1,77.7,194.0,20.64,15.4,Running,9.8,83,1,75,790.8
36,0,54.4,157.1,22.04,21.3,Running,9.8,63,1,99,467.6
58,0,67.3,165.8,24.51,22.4,Yoga,3.0,15,1,84,34.5
39,0,68.5,160.1,26.72,33.9,Yoga,3.0,32,1,85,78.8
63,0,47.6,175.6,15.44,27.9,Yoga,3.0,28,1,84,75.3
41,1,65.8,183.5,19.55,13.6,Swimming,8.0,26,2,126,384.3
73,1,88.3,178.9,27.59,24.5,HIIT,12.0,82,1,75,1061.4
56,0,77.7,155.1,32.32,30.3,Cycling,7.5,86,3,162,1500.0
42,1,74.9,178.1,23.62,17.4,Elliptical,6.0,84,3,172,1500.0
74,1,103.2,180.8,31.58,13.7,Jump Rope,11.0,74,2,119,1500.0
30,0,63.0,171.1,21.49,32.1,Jump Rope,11.0,98,2,108,1500.0
29,0,53.4,162.5,20.22,19.2,Yoga,3.0,101,1,73,251.1
61,1,78.8,178.1,24.83,27.6,HIIT,12.0,95,3,149,1500.0
65,1,78.4,163.5,29.35,18.4,Cycling,7.5,79,1,85,675.5
58,1,98.2,177.7,31.11,17.1,Yoga,3.0,67,1,98,438.6
69,1,78.5,164.6,28.97,7.6,Jump Rope,11.0,53,1,101,647.6
66,0,56.0,159.2,22.11,30.7,Elliptical,6.0,116,2,106,1065.1
71,0,61.9,168.1,21.91,20.8,Walking,3.5,63,1,88,216.1
17,1,77.6,166.9,27.85,11.9,Rowing,8.5,92,1,82,727.3
51,0,64.6,158.1,25.84,28.6,Rowing,8.5,16,2,123,253.2
65,1,72.1,181.5,21.88,9.7,Jump Rope,11.0,30,3,125,857.1
21,1,72.3,170.4,24.9,14.1,Cycling,7.5,62,3,135,1348.1
35,0,49.3,156.5,20.15,14.3,Weight Training,5.0,59,2,115,457.1
23,1,98.8,172.8,33.09,26.2,Weight Training,5.0,40,1,96,320.4
53,1,95.1,182.0,28.7,30.5,Jump Rope,11.0,25,1,83,313.8
32,0,58.5,157.4,23.61,25.8,Cycling,7.5,69,3,160,1207.2
18,0,43.5,161.4,16.7,27.7,Elliptical,6.0,111,1,78,371.9
39,1,69.8,167.7,24.82,29.6,Rowing,8.5,27,1,88,219.3
74,1,86.9,167.9,30.82,9.1,Cycling,7.5,41,1,82,369.3
28,0,69.1,167.5,24.63,28.3,Weight Training,5.0,76,2,131,747.7
64,1,76.3,176.0,24.62,18.3,Swimming,8.0,26,1,105,247.6
72,1,84.5,173.8,27.98,24.2,Elliptical,6.0,115,1,99,989.1
23,0,36.8,159.8,14.4,21.7,Jump Rope,11.0,77,2,134,849.7
40,0,63.7,157.5,25.68,32.9,Running,9.8,17,3,149,383.0
67,0,65.0,169.4,22.66,23.3,Walking,3.5,18,2,111,124.2
16,0,72.0,164.0,26.74,26.1,Walking,3.5,29,2,115,185.1
34,0,62.6,166.8,22.51,26.3,Rowing,8.5,106,2,108,1348.9
42,0,55.3,170.6,19.0,25.0,Elliptical,6.0,61,1,94,299.3
61,1,64.7,173.0,21.62,24.7,Jump Rope,11.0,92,3,145,1500.0
74,1,91.2,177.4,28.99,15.7,HIIT,12.0,38,1,80,509.2
21,0,68.2,178.2,21.48,29.0,HIIT,12.0,55,2,120,1045.0
58,0,62.0,160.9,23.97,22.9,HIIT,12.0,84,1,69,696.2
22,1,89.0,183.3,26.49,6.8,Yoga,3.0,89,3,153,1237.6
61,1,74.9,176.5,24.07,22.7,Running,9.8,107,3,133,1500.0
49,1,81.0,169.1,28.3,18.0,Cycling,7.5,30,2,120,479.6
28,0,59.8,154.3,25.13,13.3,HIIT,12.0,91,2,122,1500.0
31,0,58.4,162.0,22.23,23.5,Cycling,7.5,89,1,79,468.4
50,1,88.7,187.0,25.38,20.2,Yoga,3.0,112,1,86,582.1
64,0,49.3,163.3,18.48,17.7,Elliptical,6.0,96,2,121,866.2
54,0,63.3,177.4,20.11,23.1,Running,9.8,71,2,109,1018.7
18,0,73.8,162.6,27.92,41.0,Running,9.8,55,2,126,950.3
16,1,40.6,177.0,12.96,12.3,HIIT,12.0,61,3,167,1241.4
20,1,78.6,176.1,25.36,21.0,Running,9.8,60,2,119,1143.1
68,0,59.3,158.8,23.53,17.7,Weight Training,5.0,88,3,160,1189.8
56,0,66.0,153.5,27.99,19.6,Cycling,7.5,117,1,93,772.4
18,0,68.6,165.9,24.92,27.1,Rowing,8.5,76,2,117,1060.0
68,0,78.0,164.1,28.98,23.9,Running,9.8,50,2,120,887.7
43,0,46.7,165.3,17.11,20.9,Swimming,8.0,44,3,148,690.2
32,1,96.4,185.1,28.16,15.8,Walking,3.5,29,2,123,315.5
40,0,64.9,166.3,23.44,30.5,Running,9.8,32,2,122,477.2
58,0,62.3,152.3,26.86,23.9,Running,9.8,43,3,161,977.9
48,0,66.6,160.0,25.99,27.9,HIIT,12.0,72,1,84,661.0
24,1,74.8,172.7,25.07,16.3,HIIT,12.0,107,3,145,1500.0
50,1,76.2,167.4,27.18,17.1,Weight Training,5.0,36,3,160,654.0
28,0,65.1,172.3,21.95,22.9,Elliptical,6.0,69,1,90,370.3
45,1,86.6,193.0,23.25,20.6,Swimming,8.0,37,2,119,691.8
62,1,118.8,170.5,40.85,15.3,Elliptical,6.0,107,1,66,971.0
29,1,83.5,174.0,27.57,12.5,Running,9.8,58,2,136,1250.8
22,1,78.3,176.8,25.06,15.4,Jump Rope,11.0,84,2,115,1500.0
28,1,64.8,175.9,20.96,22.1,Jump Rope,11.0,74,2,123,1347.5
37,1,55.3,154.8,23.08,20.9,Walking,3.5,116,1,85,398.2
74,0,85.4,163.9,31.81,31.0,Weight Training,5.0,102,2,127,1161.8
71,1,71.4,189.2,19.96,14.5,Cycling,7.5,19,2,129,298.4
54,1,109.2,173.3,36.37,25.2,Walking,3.5,119,2,110,1435.5
35,0,60.3,151.9,26.14,18.3,Jump Rope,11.0,101,3,166,1500.0
30,0,53.5,165.9,19.43,23.6,Yoga,3.0,48,1,75,101.5
59,0,51.3,164.0,19.08,32.6,Rowing,8.5,26,3,149,450.5
32,0,63.4,165.9,23.03,25.7,Elliptical,6.0,89,2,110,868.0
61,1,69.7,175.3,22.67,13.8,Jump Rope,11.0,81,3,157,1500.0
67,1,57.0,175.1,18.58,12.6,Weight Training,5.0,102,3,166,1500.0
38,1,71.4,170.3,24.6,21.7,Elliptical,6.0,107,2,124,1387.5
40,1,77.8,164.1,28.89,18.2,Rowing,8.5,55,2,114,919.6
39,0,51.0,162.4,19.32,22.6,Running,9.8,109,3,142,1500.0
74,1,62.6,175.8,20.25,8.2,Rowing,8.5,22,3,170,509.8
74,1,69.0,188.3,19.46,22.4,Running,9.8,16,2,112,297.5
